Gene,Function Count
sym,0
AAR2,0
ABHD12,1
ABHD16B,0
ACOT8,0
ACSS1,0
ACSS2,0
ACTL10,0
ACTR5,0
ADA,0
ADAM33,0
ADIG,0
ADNP,0
ADRA1D,8
ADRM1,0
AHCY,0
ANGPT4,6
ANKEF1,0
ANKRD60,0
AP5S1,5
APCDD1L,0
APMAP,0
ARFGAP1,0
ARFGEF2,0
ARFRP1,0
ARHGAP40,0
ASIP,0
ASXL1,0
ATP5F1E,0
ATP9A,0
ATRN,41
AURKA,0
AVP,0
B4GALT5,0
BANF2,0
BCAS1,4
BCAS4,0
BCL2L1,4
BFSP1,0
BHLHE23,0
BIRC7,0
BLCAP,0
BMP2,0
BMP7,7
BPI,2
BPIFA1,0
BPIFA2,0
BPIFA3,0
BPIFB1,0
BPIFB2,0
BPIFB3,0
BPIFB4,0
BPIFB6,0
BTBD3,0
C20orf27,1
C20orf85,0
C20orf96,1
C20orf141,0
C20orf144,0
C20orf173,0
C20orf194,40
C20orf196,18
C20orf202,0
C20orf203,3
C20orf204,0
CABLES2,1
CASS4,3
CBFA2T2,0
CBLN4,0
CCM2L,0
CD40,1
CD93,0
CDC25B,1
CDH4,16
CDH22,0
CDH26,0
CDK5RAP1,0
CDS2,12
CEBPB,0
CENPB,0
CEP250,0
CFAP61,3
CHD6,7
CHGB,12
CHMP4B,0
CHRNA4,2
CNBD2,0
COL9A3,0
COL20A1,0
COMMD7,0
COX4I2,0
CPNE1,0
CPXM1,0
CRLS1,4
CRNKL1,0
CSE1L,4
CSNK2A1,130
CST1,0
CST2,0
CST3,2
CST4,0
CST5,0
CST7,0
CST8,0
CST9,0
CST9L,0
CST11,0
CSTF1,0
CSTL1,0
CTCFL,0
CTNNBL1,2
CTSA,0
CTSZ,0
CYP24A1,2
DBNDD2,0
DDRGK1,3
DDX27,0
DEFB115,0
DEFB116,0
DEFB118,0
DEFB119,0
DEFB121,0
DEFB123,0
DEFB124,0
DEFB125,10
DEFB126,2
DEFB127,2
DEFB128,3
DEFB129,3
DEFB132,3
DHX35,0
DIDO1,0
DLGAP4,2
DNAJC5,0
DNMT3B,3
DNTTIP1,0
DOK5,0
DPM1,0
DSN1,0
DSTN,0
DTD1,1
DUSP15,0
DYNLRB1,0
DZANK1,1
E2F1,0
EBF4,0
EDEM2,1
EDN3,0
EEF1A2,0
EFCAB8,1
EIF2S2,0
EIF6,0
ELMO2,0
EMILIN3,0
ENTPD6,0
EPB41L1,1
EPPIN,0
ERGIC3,0
ESF1,0
EYA2,12
FAM83C,0
FAM83D,0
FAM110A,1
FAM209A,0
FAM209B,0
FAM210B,0
FAM217B,0
FASTKD5,0
FERMT1,4
FITM2,0
FKBP1A,0
FLRT3,0
FNDC11,0
FOXA2,0
FOXS1,0
GATA5,0
GCNT7,0
GDAP1L1,0
GDF5,7
GDF5OS,0
GFRA4,0
GGT7,1
GGTLC1,0
GHRH,0
GID8,0
GINS1,0
GMEB2,0
GNAS,5
GNRH2,0
GPCPD1,5
GSS,0
GTSF1L,0
GZF1,0
HAO1,1
HCK,1
HELZ2,0
HM13,0
HNF4A,16
HRH3,0
HSPA12B,1
ID1,0
IDH3B,0
IFT52,0
INSM1,0
ISM1,2
ITCH,0
ITPA,3
JAG1,0
JPH2,1
KAT14,0
KCNB1,6
KCNG1,0
KCNK15,0
KCNQ2,0
KCNS1,1
KIAA1755,4
KIF3B,1
KIF16B,5
KIZ,2
L3MBTL1,0
LAMA5,2
LAMP5,0
LBP,1
LIME1,0
LKAAEAR1,0
LPIN3,0
LRRN4,0
LSM14B,0
LZTS3,4
MACROD2,30
MAFB,0
MANBAL,0
MAP1LC3A,0
MAPRE1,2
MATN4,0
MAVS,4
MC3R,0
MCM8,7
MGME1,0
MKKS,0
MMP9,0
MMP24,0
MMP24OS,1
MOCS3,0
MRGBP,0
MROH8,1
MRPS26,0
MTG2,0
MTRNR2L3,0
MYBL2,0
MYH7B,2
MYL9,0
MYLK2,1
MYT1,1
NAA20,0
NANP,0
NAPB,0
NCOA3,1
NCOA5,0
NCOA6,3
NDRG3,0
NDUFAF5,0
NECAB3,0
NELFCD,0
NEURL2,0
NFATC2,8
NFS1,1
NINL,0
NKAIN4,0
NKX2-2,0
NKX2-4,0
NMTRL-TAA5-1,0
NNAT,0
NOL4L,9
NOP56,0
NPBWR2,0
NPEPL1,0
NRSN2,38
NSFL1C,0
NTSR1,0
NXT1,0
OCSTAMP,0
OGFR,0
OPRL1,0
OSBPL2,0
OSER1,0
OTOR,0
OVOL2,0
OXT,0
PABPC1L,0
PAK5,3
PANK2,9
PARD6B,0
PAX1,0
PCED1A,0
PCIF1,5
PCK1,1
PCMTD2,0
PCNA,0
PCSK2,5
PDRG1,0
PDYN,4
PET117,0
PFDN4,0
PHACTR3,7
PHF20,4
PI3,0
PIGT,0
PIGU,1
PKIG,0
PLAGL2,0
PLCB1,18
PLCB4,5
PLCG1,5
PLTP,3
PMEPA1,1
POFUT1,0
POLR3F,0
PPDPF,0
PPP1R3D,0
PPP1R16B,1
PRELID3B,1
PREX1,5
PRND,0
PRNP,10
PROCR,11
PROKR2,0
PRPF6,0
PSMA7,0
PSMF1,7
PTGIS,0
PTK6,0
PTPN1,0
PTPRA,0
PTPRT,14
PXMP4,1
PYGB,2
R3HDML,1
